,Customer_ID,Transaction_ID,Product,Sales_Amount,Quantity,SKU
0,1666,7,house keeping products,8.21,1.0,AHZNS
1,592,13,detergent,11.65,1.0,YJTMP
2,3874,15,house keeping products,16.91,1.0,F79YP
3,5599,16,skin care,7.85,1.0,0ZEQ8
4,5599,16,pet care,12.87,1.0,DWJC4
5,9223,17,dish cleaner,10.5,1.0,EGB8E
6,6294,19,male cosmetics,7.9,1.0,W9RKF
7,6294,19,cream,9.06,1.0,520UE
8,5780,20,flower soil/fertilizer,22.25,1.0,NIXNF
9,1253,23,abrasive cleaner,13.1,1.0,8D73U
10,5058,24,decalcifier,23.61,1.0,DPAB1
11,8303,29,house keeping products,5.12,1.0,QWSWG
12,4776,30,detergent,5.38,1.0,3CUG7
13,3391,38,fruit/vegetable juice,5.32,1.0,E7DJL
14,1655,39,citrus fruit,26.57,1.0,RZW8B
15,1655,39,tropical fruit,6.9,1.0,4TTS2
16,3785,46,berries,15.83,1.0,20XCP
17,1098,47,house keeping products,5.79,1.0,JJ9FT
18,1098,47,house keeping products,10.3,1.0,25CJ5
19,8515,49,cream,14.43,1.0,5FESW
20,9011,53,pip fruit,16.12,1.0,MNJUQ
21,4414,55,house keeping products,9.38,1.0,SANGZ
22,2562,57,fruit/vegetable juice,5.37,1.0,A6Z4C
23,473,58,pasta,8.73,2.0,AODV3
24,473,58,dessert,8.14,3.0,MZL43
25,3708,61,house keeping products,10.57,1.0,A4R06
26,8537,63,pip fruit,16.12,1.0,Z0UBN
27,3992,64,ready soups,11.18,2.0,UCK6F
28,5373,70,pasta,3.7,1.0,RNDL2
29,4122,76,chicken,118.35,0.67,4BPPU
30,4122,76,other vegetables,33.6,4.0,PV9XZ
31,4122,76,decalcifier,5.37,2.0,MM77N
32,4122,76,chicken,11.02,2.0,U4XSE
33,4122,76,margarine,12.36,2.0,9F8O1
34,4122,76,margarine,14.4,2.0,GYQNP
35,8470,80,turkey,18.32,1.0,53EDF
36,178,84,dish cleaner,34.06,1.0,699MN
37,1725,86,ready soups,11.18,2.0,UCK6F
38,6994,88,dish cleaner,19.0,1.0,11H2S
39,3,90,margarine,8.16,2.0,Y1M2E
40,427,91,dish cleaner,8.69,1.0,LKDTY
41,7408,95,dish cleaner,17.5,1.0,7BGJ9
42,3131,100,dish cleaner,3.34,1.0,MRE4J
43,5948,102,dish cleaner,10.56,1.0,967JZ
44,6848,104,house keeping products,8.25,1.0,81AIS
